国内央视,#genre#
CCTV1,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1
CCTV2,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2
CCTV3,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3
CCTV4,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4
CCTV5,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5
CCTV5+,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p
CCTV6,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6
CCTV7,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7
CCTV8,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8
CCTV9,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9
CCTV10,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10
CCTV11,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11
CCTV12,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv12
CCTV13,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13
CCTV14,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv14
CCTV15,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv15
CCTV16,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv16
CCTV17,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv17
北京卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=bjws
东方卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dfws
浙江卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=zjws
江苏卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jsws
湖南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hunws
广东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gdws
深圳卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=szws
天津卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=tjws
安徽卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=ahws
山东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sdws
辽宁卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=lnws
河北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hbws
河南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hnws
江西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jxws
四川卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=scws
重庆卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cqws
贵州卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gzws
湖北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hubws
广西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gxws
东南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dnws
海南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hinws
青海卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=qhws
吉林卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jlws
黑龙江视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hljws
安徽卫视,http://43.161.238.180/123.php?id=ahws
北京卫视,http://43.161.238.180/123.php?id=bjws
重庆卫视,http://43.161.238.180/123.php?id=cqws
东方卫视,http://43.161.238.180/123.php?id=dfws
东南卫视,http://43.161.238.180/123.php?id=dnws
甘肃卫视,http://43.161.238.180/123.php?id=gsws
广东卫视,http://43.161.238.180/123.php?id=gdws
广西卫视,http://43.161.238.180/123.php?id=gxws
贵州卫视,http://43.161.238.180/123.php?id=gzws
河北卫视,http://43.161.238.180/123.php?id=hebeiws
河南卫视,http://43.161.238.180/123.php?id=hnws
黑龙江卫视,http://43.161.238.180/123.php?id=hljws
湖北卫视,http://43.161.238.180/123.php?id=hbws
湖南卫视,http://43.161.238.180/123.php?id=hunanws
吉林卫视,http://43.161.238.180/123.php?id=jlws
江苏卫视,http://43.161.238.180/123.php?id=jsws
江西卫视,http://43.161.238.180/123.php?id=jxws
辽宁卫视,http://43.161.238.180/123.php?id=lnws
内蒙古,http://43.161.238.180/123.php?id=neimenggu
宁夏卫视,http://43.161.238.180/123.php?id=linxws
青海卫视,http://43.161.238.180/123.php?id=qhws
山东卫视,http://43.161.238.180/123.php?id=sdws
山西卫视,http://43.161.238.180/123.php?id=sxws
陕西卫视,http://43.161.238.180/123.php?id=shxws
影视频道,http://43.161.238.180/123.php?id=custom4
深圳卫视,http://43.161.238.180/123.php?id=szws
四川卫视,http://43.161.238.180/123.php?id=scws
天津卫视,http://43.161.238.180/123.php?id=tjws
新疆卫视,http://43.161.238.180/123.php?id=xjws
西藏卫视,http://43.161.238.180/123.php?id=xzws
云南卫视,http://43.161.238.180/123.php?id=ynws
浙江卫视,http://43.161.238.180/123.php?id=zjws
明星虎牙,#genre#
周星驰,http://cfss.cc/cdn/hy/11342412.m3u8
李连杰,http://cfss.cc/cdn/hy/11342390.m3u8
甄子丹,http://cfss.cc/cdn/hy/11352935.m3u8
刘德华,http://cfss.cc/cdn/hy/11342424.m3u8
邱淑贞,http://cfss.cc/cdn/hy/11352949.m3u8
女神系列,http://cfss.cc/cdn/hy/11336571.m3u8
赌片,http://cfss.cc/cdn/hy/11342399.m3u8
bang派,http://cfss.cc/cdn/hy/11336719.m3u8
科幻动作,http://cfss.cc/cdn/hy/11352964.m3u8
国产喜剧,http://cfss.cc/cdn/hy/11602044.m3u8
五福星,http://cfss.cc/cdn/hy/11282233.m3u8
古墓系列,http://cfss.cc/cdn/hy/11352913.m3u8
灾难电影,http://cfss.cc/cdn/hy/11352871.m3u8
港片,http://cfss.cc/cdn/hy/11602043.m3u8
灾难片,http://cfss.cc/cdn/hy/11602075.m3u8
奇幻片,http://cfss.cc/cdn/hy/16149609.m3u8
悬疑片,http://cfss.cc/cdn/hy/16099968.m3u8
香港贺岁,http://cfss.cc/cdn/hy/11601971.m3u8
贺岁合家欢剧场,http://cfss.cc/cdn/hy/11602067.m3u8
恐怖片,http://cfss.cc/cdn/hy/16741179.m3u8
历年贺岁档,http://cfss.cc/cdn/hy/11601986.m3u8
李世民,http://cfss.cc/cdn/hy/11336572.m3u8
港产搞笑,http://cfss.cc/cdn/hy/11342423.m3u8
滇军抗战,http://cfss.cc/cdn/hy/11342388.m3u8
经典女神,http://cfss.cc/cdn/hy/11352909.m3u8
