我的收藏,#genre#
港澳频道,#genre#
凤凰中文,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=phoenixtv_hd
凤凰资讯,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=phoenixinfo_hd
凤凰香港,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=hkphoenix_twn
亚洲卫视,https://p2hs.vzan.com/slowlive/821481626725612419/live.m3u8
阳光卫视,http://stream.chinasuntv.com/680k/mid_video_index.m3u8
香港C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
TVB功夫台,p2p://80.251.220.91:7999/ad24fed6fe05dc5c577b4015d9316e84.ts
NOW新闻,http://108.181.20.197/livehttpplay?channel_id=20041
翡翠4K,p2p://80.251.220.91:7999/114d4bdfcd993a587dbda655a2aeb984.ts
TVB翡翠台,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=jade_twn
TVB华丽台,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=Wlt
TVBplus台,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=j2_twn
TVBe,p2p://80.251.220.91:7999/919d3c4761c9626e5c07d5749ddcc0b5.ts
TVB明珠台,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=pearl_twn
TVB星河台(粤语),http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=Xinhe
Rock Actions,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=Rockaction
Rock Entertainment,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=Rockentertain
HOY77,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv2
HOY78,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=hoycaijing_twn
千禧经典台,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=Tvbclassic
娱乐新闻台,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=Tvbentertainment
无线新闻台,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=inews_twn
VIUTV,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=viu1_twn
VIUTV6,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=viusix_twn
RHK31备,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk31
RHK31,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=rhk31_twn
RHK32,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=rhk32_twn
爱奇艺,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=Qiyi
欢喜台,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=Huahee,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=Huahee_backup
天映频道(印尼),http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=Celestialindo
天映频道,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=Celestial
天映经典,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=Celestial2
台视HD,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=ttv_taiwan
中视HD,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=zhongshihd_twn
民视HD,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=ftvhd_taiwan
华视HD,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=ctshd_twn
公视HD,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=ctv_taiwan
AXN,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=axn_twn
EYE戲劇,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=eyetvxiju_twn
EYE旅遊,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=eyetvtravel_twn
HBO,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=hbohd_twn
HBO Family,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=fyi_twn
好萊塢電影台,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=hollywoodmovies_twn
MTV Live,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=mtvhd_twn
TLC旅遊生活,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=tlc_twn
CLASSICA 古典樂,https://lotus.stingray.com/manifest/classica-cla008-montreal/samsungtvplus/master.m3u8
Classic Arts Showcase,https://classicarts.akamaized.net/hls/live/1024257/CAS/master.m3u8
東森新聞,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=ettvnews
TVBS HD,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=tvbs
TVBS新聞台,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=tvbs_n
TVBS歡樂台,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=tvbshuanle_twn
三立台灣台,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=sanlitaiwan
三立戲劇台,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=sanlixiju_twn
三立綜合台,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=sanlizhonghe
中天亞洲台,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=ctiasia_twn
中天娱樂,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=ctient
中天新聞HD,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=ctinews
中天綜合,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=ctizhonghe
亞洲旅遊台,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=asiatravel_twn
亞洲美食,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=afc_twn
八大第一台,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=badafirst
八大娱乐台,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=badaentertain
八大戲劇,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=badadrama
八大綜合,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=badazhonghe
民視新聞台,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=ftvnew_taiwan
台视综合HD,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=ttvzhonghe
台視新聞台HD,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=ttvnews_twn
中視新聞台HD,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=zhongshinews_twn
中視經典HD,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=zhongshi_twn
華藝綜合,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=weishichinese_twn
大愛一台,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=daai_twn
大愛二台,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
CatchPlay电影台,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=catchplay_twn
生命电视,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8
唯心电视,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/playlist.m3u8
寰宇新聞台,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=huanyuxinwen_twn
寰宇財經台,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=huanyutaiwan_twn
年代新聞台,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=niandainews_twn
愛爾達综合,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=eltazonghe
愛爾達影劇,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=eltadrama_twn
愛爾達體育 1,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=eltasport1_twn
愛爾達體育 2,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=eltasport2_twn
ELEVEN 1,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=golfchannel_twn
博斯運動1,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=bosisport1_twn
博斯高球1,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=bosigolf1_twn
博斯高球2,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=bosigolf2_twn
探索亞洲,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=discoverytwn_twn
國家地理,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=natgeohd_twn
野生動物,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=natgeowild_twn
動物星球,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=animalplanet_twn
時尚,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=fashiontv_twn
Discovery Asia,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=discoverytwn_twn
Discovery HD,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=discoveryhd_twn
東森戲劇HD,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=ettvdrama
東森洋片HD,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=ettvwestern
東森綜合HD,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=ettvzhonghe
東森財經新聞HD,http://198.23.184.108:2061/xqkh/mljiuhd558.php?id=ettvcaijing_twn
